ims_index,percentage,roi_index,roi_name,x_original,y_original,x_minimized,y_minimized
56932,0.006666666666666667,1,6420-2703.roi,249,570,69,192
56933,0.10666666666666667,1,6420-2703.roi,250,570,70,192
57196,0.016666666666666666,1,6420-2703.roi,248,571,68,193
57197,0.6477777777777778,1,6420-2703.roi,249,571,69,193
57198,0.9344444444444444,1,6420-2703.roi,250,571,70,193
57199,0.1622222222222222,1,6420-2703.roi,251,571,71,193
57459,0.48,1,6420-2703.roi,248,572,68,194
57460,1.0,1,6420-2703.roi,249,572,69,194
57461,1.0,1,6420-2703.roi,250,572,70,194
57462,0.7622222222222222,1,6420-2703.roi,251,572,71,194
57722,0.7455555555555555,1,6420-2703.roi,248,573,68,195
57723,1.0,1,6420-2703.roi,249,573,69,195
57724,1.0,1,6420-2703.roi,250,573,70,195
57725,0.8133333333333334,1,6420-2703.roi,251,573,71,195
57984,0.30666666666666664,1,6420-2703.roi,248,574,68,196
57985,0.9733333333333334,1,6420-2703.roi,249,574,69,196
57986,0.99,1,6420-2703.roi,250,574,70,196
57987,0.2644444444444444,1,6420-2703.roi,251,574,71,196
58246,0.16111111111111112,1,6420-2703.roi,249,575,69,197
58247,0.13444444444444445,1,6420-2703.roi,250,575,70,197
57455,0.18222222222222223,2,6454-2570.roi,244,572,64,194
57456,0.5766666666666667,2,6454-2570.roi,245,572,65,194
57457,0.45222222222222225,2,6454-2570.roi,246,572,66,194
57458,0.006666666666666667,2,6454-2570.roi,247,572,67,194
57717,0.07222222222222222,2,6454-2570.roi,243,573,63,195
57718,0.9011111111111111,2,6454-2570.roi,244,573,64,195
57719,1.0,2,6454-2570.roi,245,573,65,195
57720,1.0,2,6454-2570.roi,246,573,66,195
57721,0.4988888888888889,2,6454-2570.roi,247,573,67,195
57979,0.36777777777777776,2,6454-2570.roi,243,574,63,196
57980,1.0,2,6454-2570.roi,244,574,64,196
57981,1.0,2,6454-2570.roi,245,574,65,196
57982,1.0,2,6454-2570.roi,246,574,66,196
57983,0.51,2,6454-2570.roi,247,574,67,196
58240,0.3188888888888889,2,6454-2570.roi,243,575,63,197
58241,0.9222222222222223,2,6454-2570.roi,244,575,64,197
58242,0.8888888888888888,2,6454-2570.roi,245,575,65,197
58243,0.45555555555555555,2,6454-2570.roi,246,575,66,197
58244,0.024444444444444446,2,6454-2570.roi,247,575,67,197
58492,0.11555555555555555,3,6563-2307.roi,235,576,55,198
58493,0.7166666666666667,3,6563-2307.roi,236,576,56,198
58494,0.6755555555555556,3,6563-2307.roi,237,576,57,198
58495,0.021111111111111112,3,6563-2307.roi,238,576,58,198
58751,0.5522222222222222,3,6563-2307.roi,235,577,55,199
58752,1.0,3,6563-2307.roi,236,577,56,199
58753,1.0,3,6563-2307.roi,237,577,57,199
58754,0.3244444444444444,3,6563-2307.roi,238,577,58,199
59010,0.42,3,6563-2307.roi,235,578,55,200
59011,1.0,3,6563-2307.roi,236,578,56,200
59012,0.9688888888888889,3,6563-2307.roi,237,578,57,200
59013,0.2822222222222222,3,6563-2307.roi,238,578,58,200
59268,0.035555555555555556,3,6563-2307.roi,235,579,55,201
59269,0.46111111111111114,3,6563-2307.roi,236,579,56,201
59270,0.17888888888888888,3,6563-2307.roi,237,579,57,201
62978,0.1811111111111111,4,7138-3447.roi,274,594,94,216
62979,0.11777777777777777,4,7138-3447.roi,275,594,95,216
63208,0.3333333333333333,4,7138-3447.roi,273,595,93,217
63209,0.9833333333333333,4,7138-3447.roi,274,595,94,217
63210,0.97,4,7138-3447.roi,275,595,95,217
63211,0.47888888888888886,4,7138-3447.roi,276,595,96,217
63437,0.9833333333333333,4,7138-3447.roi,273,596,93,218
63438,1.0,4,7138-3447.roi,274,596,94,218
63439,1.0,4,7138-3447.roi,275,596,95,218
63440,0.7988888888888889,4,7138-3447.roi,276,596,96,218
63664,0.9711111111111111,4,7138-3447.roi,273,597,93,219
63665,1.0,4,7138-3447.roi,274,597,94,219
63666,1.0,4,7138-3447.roi,275,597,95,219
63667,0.6544444444444445,4,7138-3447.roi,276,597,96,219
63890,0.7488888888888889,4,7138-3447.roi,273,598,93,220
63891,1.0,4,7138-3447.roi,274,598,94,220
63892,0.8088888888888889,4,7138-3447.roi,275,598,95,220
63893,0.12666666666666668,4,7138-3447.roi,276,598,96,220
64114,0.05,4,7138-3447.roi,273,599,93,221
64115,0.16777777777777778,4,7138-3447.roi,274,599,94,221
64116,0.005555555555555556,4,7138-3447.roi,275,599,95,221
67299,0.04555555555555556,5,7729-4170.roi,297,614,117,236
67300,0.2822222222222222,5,7729-4170.roi,298,614,118,236
67301,0.13555555555555557,5,7729-4170.roi,299,614,119,236
67496,0.4111111111111111,5,7729-4170.roi,297,615,117,237
67497,1.0,5,7729-4170.roi,298,615,118,237
67498,0.9933333333333333,5,7729-4170.roi,299,615,119,237
67499,0.3055555555555556,5,7729-4170.roi,300,615,120,237
67691,0.6777777777777778,5,7729-4170.roi,297,616,117,238
67692,1.0,5,7729-4170.roi,298,616,118,238
67693,1.0,5,7729-4170.roi,299,616,119,238
67694,0.5755555555555556,5,7729-4170.roi,300,616,120,238
67885,0.39111111111111113,5,7729-4170.roi,297,617,117,239
67886,1.0,5,7729-4170.roi,298,617,118,239
67887,1.0,5,7729-4170.roi,299,617,119,239
67888,0.7355555555555555,5,7729-4170.roi,300,617,120,239
68077,0.028888888888888888,5,7729-4170.roi,297,618,117,240
68078,0.5011111111111111,5,7729-4170.roi,298,618,118,240
68079,0.3622222222222222,5,7729-4170.roi,299,618,119,240
68080,0.04111111111111111,5,7729-4170.roi,300,618,120,240
